_id,name,description,author,age,rating,published,isbn,updatedAt,__v
658f6b6860676a3a286a478f,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)","\r\nA lifetime of communication skills starts here―the ultimate writing workbook for kids 3 to 5Set kids up to succeed in school with a learn to write for kids guide that teaches them letters, shapes, and numbers―and makes it fun. My First Learn-to-Write Workbook introduces early writers to proper pen control, line tracing, and more with dozens of handwriting exercises that engage their minds and boost their reading and writing comprehension skills.This activity book for kids includes:75+ Pages of practices―Tons of engaging pencil-on-paper activities like connect-the-dots and fill-in-the-blank offer enough repetition for real learning but enough variety to keep kids interested.Colorful fun―This workbook is full of helpful (and silly) pictures and illustrations that will spark kids’ imaginations and get them excited to keep practicing. Comprehensive skill-building―As they explore these exercises, kids will learn reading comprehension and letters as well as numbers, pen control, and fine motor skills.Get your little one on the path to success with this exciting learn to write workbook.\r\n\r\n",Crystal Radke,3 5,4.8,2019-08-27T00:00:00.000Z,1641526270,2023-12-30T01:37:26.407Z,4
658f6b6860676a3a286a4790,I Love You to the Moon and Back,"\r\nShow your child just how strong your love is every minute of the day! Features a ""To"" and ""From"" personalization page, making this sweet offering an ideal gift for baby showers, birthdays, and new parents. The sun rises, and a bear and cub begin their day together. They splash in the water, climb mountains, watch the colorful lights in the shimmering sky, and play with friends. They show their love for each other by touching noses, chasing each other, and, of course, hugging and snuggling before bed. A sweet, gentle rhyme, perfect for sharing with a special little one that also includes a “To” and ""From” personalization page in the front of the book, making this heartwarming book an ideal gift.\r\n\r\n",Amelia Hepworth,2 5,4.9,2015-03-03T00:00:00.000Z,1589255518,2023-12-30T01:37:26.407Z,4
658f6b6860676a3a286a4791,Superheroes Are Everywhere,"\r\nFrom Vice President Kamala Harris comes a picture book with an empowering message: Superheroes are all around us--and if we try, we can all be heroes too. Now a #1 New York Times bestseller!Before Kamala Harris was elected to the vice presidency, she was a little girl who loved superheroes. And when she looked around, she was amazed to find them everywhere! In her family, among her friends, even down the street--there were superheroes wherever she looked. And those superheroes showed her that all you need to do to be a superhero is to be the best that you can be.In this empowering and joyful picture book that speaks directly to kids, Kamala Harris takes readers through her life and shows them that the power to make the world a better place is inside all of us. And with fun and engaging art by Mechal Renee Roe, as well as a guide to being a superhero at the end, this book is sure to have kids taking up the superhero mantle (cape and mask optional).Praise for Superheroes Are Everywhere:""This [book] offers a solid message: a superhero could be anyone, including you."" --Booklist\r\n\r\n",Kamala Harris,3 7,4.8,2019-01-08T00:00:00.000Z,1984837494,2023-12-30T01:37:26.407Z,4
658f6b6860676a3a286a4796,Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),"\r\nAll five books in the blockbuster Percy Jackson and the Olympians series, in paperback, collected in a boxed set fit for demigods, complete with a bonus poster!Now with glorious new cover art and packaged with a special poster, this value-priced set includes the best-selling The Lightning Thief, The Sea of Monsters, The Titan's Curse, The Battle of the Labyrinth, and The Last Olympian. Accompany the son of the sea god Poseidon and his other demigod friends as they go on a series of quests that will have them facing monsters, gods, and conniving figures from Greek mythology. Do they have what it takes to save the Olympians from an ancient enemy?Whether it is for readers who are experiencing Percy's funny and thrilling adventures for the first time, or for fans who want to devour the saga again, this gift will be prized by readers aged 8-80.This beloved series, read in schools across the world, has inspired two motion pictures and a Broadway musical. It is currently in development for a television series on Disney+,\r\n\r\n",Rick Riordan,8 12,4.9,2014-06-03T00:00:00.000Z,1484707230,2023-12-30T01:37:26.407Z,4
658f6b6860676a3a286a4797,The Deep End (Diary of a Wimpy Kid Book 15),"\r\nAn instant #1 USA Today, Wall Street Journal, and New York Times bestseller!  In The Deep End, book 15 of the Diary of a Wimpy Kid series from #1 international bestselling author Jeff Kinney, Greg Heffley and his family hit the road for a cross-country camping trip, ​ready for the adventure of a lifetime.    But things take an unexpected turn, and they find themselves stranded at an RV park that’s not exactly a summertime paradise. When the skies open up and the water starts to rise, the Heffleys wonder if they can save their vacation—or if they’re already in too deep.   And don’t miss Rowley Jefferson’s Awesome Friendly Adventure, an all-new fantasy from Greg’s best friend—the follow-up to the instant #1 bestseller Diary of an Awesome Friendly Kid: Rowley Jefferson’s Journal.  \r\n\r\n",Jeff Kinney,8 12,4.9,2020-10-27T00:00:00.000Z,1419748688,2023-12-30T01:37:26.407Z,4
658f6b6860676a3a286a4798,Cat Kid Comic Club: From the Creator of Dog Man,"\r\nA pioneering new graphic novel series by Dav Pilkey, the author and illustrator of the internationally bestselling Dog Man and Captain Underpants series.In Cat Kid Comic Club, Li'l Petey, Flippy, and Molly introduce twenty-one rambunctious, funny, and talented baby frogs to the art of comic making. As the story unwinds with mishaps and hilarity, readers get to see the progress, mistakes, and improvements that come with practice and persistence.Squid Kid and Katydid, Baby Frog Squad, Monster Cheese Sandwich, and Birds Flowers Trees: A Haiku Photo Comic are just some of the mini-comics that are included as stories-within-the-story, each done in a different style, utilizing humor and drama, prose and poetry, illustrated in different media including acrylics, pastels, colored pencils, felt-tip markers, clay, hand-made cardboard sculptures, photographs, pipe cleaners, construction paper collages, and cookies.Readers of all ages will be inspired to dream up their own stories and unleash their own creativity as they dive into this new graphic novel adventure from Dav Pilkey and his heartfelt, humorous, and amazing cast of characters in the Cat Kid Comic Club.\r\n\r\n",Dav Pilkey,7 99,4.9,2020-12-01T00:00:00.000Z,1338712764,2023-12-30T12:32:42.343Z,4
658f6b6860676a3a286a4799,The Ickabog,"\r\nFrom J.K. Rowling, a warm, fast-paced, funny fairy tale of a fearsome monster, thrilling adventure, and hope against all odds.Once upon a time there was a tiny kingdom called Cornucopia, as rich in happiness as it was in gold, and famous for its food. From the delicate cream cheeses of Kurdsburg to the Hopes-of-Heaven pastries of Chouxville, each was so delicious that people wept with joy as they ate them.But even in this happy kingdom, a monster lurks. Legend tells of a fearsome creature living far to the north in the Marshlands... the Ickabog. Some say it breathes fire, spits poison, and roars through the mist as it carries off wayward sheep and children alike. Some say it's just a myth...And when that myth takes on a life of its own, casting a shadow over the kingdom, two children - best friends Bert and Daisy - embark on a great adventure to untangle the truth and find out where the real monster lies, bringing hope and happiness to Cornucopia once more.Featuring full color illustrations by children from across the United States and Canada, this original fairy tale from one of the world's most celebrated storytellers will captivate readers of all ages.\r\n\r\n",J K Rowling,8 99,4.8,2020-11-10T00:00:00.000Z,1338732870,2023-12-30T12:32:42.343Z,4
658f6b6860676a3a286a479a,"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon","\r\nVisit the magic tree house and start a time traveling adventure with the first four stories in the #1 bestselling chapter book series of all time! Four books included in one perfectly giftable box set! Meet Jack and Annie! Jack and his younger sister, Annie, are just regular kids. But when they discover a tree house in the woods, something magical happens. Jack and Annie are whisked back in time to the Age of Dinosaurs, a medieval castle, ancient pyramids, and treasure-seeking pirates.    Books in this set include: Dinosaurs Before Dark (#1), The Knight at Dawn (#2), Mummies in the Morning (#3), and Pirates Past Noon (#4). The Magic Tree House series has been a classroom favorite for over 25 years and is sure to inspire a love of reading—and adventure—in every child who joins Jack and Annie! Did you know that the Magic Tree House series has two levels? MAGIC TREE HOUSE: Perfect for readers 6-9 who are just beginning to read chapter books—includes this boxed set! MERLIN MISSIONS: More challenging adventures for experienced readers ages 7-10\r\n\r\n",Mary Pope Osborne,8 9,4.8,2001-05-29T00:00:00.000Z,9780375813658,2023-12-30T01:37:26.407Z,4
658f6b6860676a3a286a479b,The Dark Secret (Wings of Fire Graphic Novel #4): A Graphix Book (4),"\r\nThe #1 New York Times bestselling Wings of Fire series soars to new heights in the fourth graphic novel adaptation!In the shadows, trouble is brewing . . .When Starflight is stolen by his own tribe, he hopes to at least discover some of the long-held NightWing secrets -- what magical powers they really have, who they're allied with in the war, and where they've been living all this time.But the truth about Starflight's tribe is more terrible than he ever imagined: Not only do the NightWings live in a dark, miserable place, but they've imprisoned several innocent RainWings there, too. Stranded and alone, Starflight only wants to get back to his friends. But the fate of two kingdoms now rests in his talons, and with no one to save him, Starflight will have to find a way to be brave . . . before it's too late.\r\n\r\n",Tui T. Sutherland,8 12,4.9,2020-12-29T00:00:00.000Z,1338344218,2023-12-30T01:37:26.407Z,4
658f6b6860676a3a286a479e,First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,"\r\nJumpstart reading success with this big collection of motivating storybooks correlated with Guided Reading Level A. Most pages of these full-color storybooks feature just one line of simple, repetitive text to help children learn to read with ease and confidence. Includes a tip-filled parent guide. A great value!Includes these 25 titles:1. Hello, Beach2. What Can I See?3. Cold Rose4. Birthday Surprise 5. Fun with Mud6. I Like School!7. What is for Supper?8. Fun at the Playground9. Look What I Found!10. What Shines?11. Bubbles12. What Do I Need?13. Where is Petey?14. HIDE AND SEEK15. HATS, HATS, HATS16. SHAPES FOR LUNCH17. WINTER IS HERE18. WHAT IS READ19. I LIKE STRIPES20. WHEN NIGHT COMES21. SWEET TREAT22. I CAN DRAW!23. ALMOST SPRING24. HURRY UP! HURRY UP!25. CLASS PETS For use with Grades PreK-2.\r\n\r\n",Deborah Schecter,4 7,4.7,2010-10-01T00:00:00.000Z,9780545231497,2023-12-30T01:37:26.407Z,4
